,Processed File Name,Group,Year,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data,Changes,Known Errors,Raw File Name,Recorder (Name),Last Updated Date,Process File Name QA Check,File Name ISO Code,Process File Name Existance Check,Source Check,License Check,License Source Check,Link to Source Data Check,Zip File Validity Check,Raw File Check Log,Break_Column,4e94d47a3ba9cf8ae4f2357b52ebf35b,be1e46d1293c10aa45474b270296f268,4e49a3fcc48f0d4eafb346b29d1da5ea
12,AND_ADM1.zip,Andorra,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Andorra.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
13,AGO_ADM0.zip,Angola,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Bengo.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
14,AGO_ADM1.zip,Angola,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Bengo.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
15,ATG_ADM0.zip,Antigua and Barbuda,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Antigua_and_Barbuda.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
16,ATG_ADM1.zip,Antigua and Barbuda,2017.0,ADM 1,OpenStreetMap,"Digitized from wikipedia map, Attribution to Golbez","ODbL, Creative Commons Attribution-Share Alike 3.0",,,https://commons.wikimedia.org/wiki/File:Antigua_parishes_english.png,No,,exported_boundaries_Antigua_and_Barbuda.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
17,ARG_ADM0.zip,Argentina,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exportBoundaries (1).zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
18,ARG_ADM1.zip,Argentina,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exportBoundaries (1).zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
19,ARG_ADM2.zip,Argentina,2017.0,ADM 2,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,Needs to be verified,exportBoundaries (1).zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
20,ARM_ADM0.zip,Armenia,2014.0,ADM 0,Government of Armenia,United Nations Office for the Coordination of Humanitarian Affairs ROCCA,Creative Commons Attribution 3.0 IGO,,,https://data.humdata.org/dataset/armenia-administrative-boundaries,No,,arm_admbnda_adm1_gov.zip,,,,,,,,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
21,ARM_ADM1.zip,Armenia,2014.0,ADM 1,Government of Armenia,United Nations Office for the Coordination of Humanitarian Affairs ROCCA,Creative Commons Attribution 3.0 IGO,,,https://data.humdata.org/dataset/armenia-administrative-boundaries,No,,arm_admbnda_adm1_gov.zip,,,,,,,,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
22,AUS_ADM0.zip,Australia,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,exported_boundaries_Australia.shp (1).zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
23,AUS_ADM1.zip,Australia,2016.0,ADM 1,PSMA Australia Limited,data.gov.au,CC-BY 4.0 ,,,https://data.gov.au/dataset/psma-administrative-boundaries,Yes,,may17adminboundsesrishapefileordbffile20170525134529.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
24,AUS_ADM2.zip,Australia,2016.0,ADM 2,PSMA Australia Limited,data.gov.au,CC-BY 4.0 ,,,https://data.gov.au/dataset/psma-administrative-boundaries,Yes,Names need to be added,may17adminboundsesrishapefileordbffile20170525134529.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
25,AUT_ADM0.zip,Austria,2017.0,ADM 0,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,,,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af66,No,,VGD-Oesterreich_gst.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,"Row(letters='', letters='')",|,,,
26,AUT_ADM1.zip,Austria,2017.0,ADM 1,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,,,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af62,No,,VGD-Oesterreich_gst.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,,"Row(letters='', letters='')",|,,,
27,AUT_ADM2.zip,Austria,2017.0,ADM 2,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,,,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af63,No,,VGD-Oesterreich_gst.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,"Row(letters='', letters='')",|,,,
28,AUT_ADM3.zip,Austria,2017.0,ADM 3,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution: ShareAlike 2.0,,,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af64,No,,VGD-Oesterreich_gst.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,"Row(letters='', letters='')",|,,,
29,AUT_ADM4.zip,Austria,2017.0,ADM 4,"Federal Office for Metrology and Survey, Austria",,Creative Commons Attribution: ShareAlike 2.0,,,https://www.data.gv.at/katalog/dataset/51bdc6dc-25ae-41de-b8f3-938f9056af65,No,,VGD-Oesterreich_gst.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.",,"Row(letters='', letters='')",|,,,
30,AZE_ADM0.zip,Azerbaijan,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,,azerbaijan_adm1_osm.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
31,AZE_ADM1.zip,Azerbaijan,2017.0,ADM 1,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,No,Names need to be cleaned,azerbaijan_adm1_osm.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
32,BHS_ADM0.zip,Bahamas,2017.0,ADM 0,OpenStreetMap,Wambacher (https://wambachers-osm.website/boundaries/),ODbL,,,,Yes,,exported_boundaries_New_Providence.shp.zip,,,,,,,The license is not on the list of acceptable licenses.  Check the geolab.wm.edu/data geoBoundaries page for the most recent list of acceptable license types.  You may also use 'Other' and place the license details in the license details column.,"You must enter a license source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the License Source.","You must enter a data source. Further, the source must be a URL and that URL must work today. If there is no URL, for example if the website is down or it was personal communications, use the geoLab twitter via Slack to create a tweet with the appropriate screenshot, along with the message Thanks to _____ for making their data public!and use the URL to that tweet as the data source.",,"Row(letters='', letters='')",|,,,
